score,weather_stratum,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture
component_transition_score,adverse weather,0.05,26,40325,2339,2031,872,0.37280889268918344,0.4293451501723289,0.058003719776813394,7.402027866908577,0.8211313883412796,0.4998326363742554
component_transition_score,adverse weather,0.1,26,40325,2339,4045,1302,0.5566481402308678,0.3218788627935723,0.058003719776813394,5.549279667443695,0.9268718488261776,0.7197069501226492
component_transition_score,all matched,0.05,26,128780,7064,6448,2706,0.3830690826727067,0.41966501240694787,0.05485323808044727,7.650688037622699,0.7920159306009077,0.5638367269554225
component_transition_score,all matched,0.1,26,128780,7064,12888,3962,0.5608720271800679,0.30741775294847923,0.05485323808044727,5.60436837835577,0.9030809990466176,0.7417460532888313
component_transition_score,high wind,0.05,19,1195,125,68,35,0.28,0.5147058823529411,0.10460251046025104,4.920588235294117,0.2358490355088444,0.8774071594533928
component_transition_score,high wind,0.1,19,1195,125,127,55,0.44,0.4330708661417323,0.10460251046025104,4.140157480314961,0.6050762746717245,0.9015607975951379
component_transition_score,low ceiling,0.05,26,35377,2031,1782,773,0.3806006893156081,0.4337822671156005,0.057410181756508465,7.555842079639881,0.8600022606613641,0.4797105093344607
component_transition_score,low ceiling,0.1,26,35377,2031,3550,1147,0.5647464303298868,0.32309859154929577,0.057410181756508465,5.627897032614198,0.9360377148377962,0.6921434770031819
component_transition_score,low visibility,0.05,26,4278,329,226,115,0.3495440729483283,0.5088495575221239,0.07690509583917718,6.616590902977649,0.952035437219804,0.5134139116223703
component_transition_score,low visibility,0.1,26,4278,329,437,158,0.48024316109422494,0.36155606407322655,0.07690509583917718,4.701327787553992,0.9553237214099732,0.6065874653713262
component_transition_score,normal weather,0.05,26,88455,4725,4432,1823,0.38582010582010584,0.41132671480144406,0.05341699169069018,7.700297260901954,0.7642831351993654,0.5984705518674146
component_transition_score,normal weather,0.1,26,88455,4725,8856,2661,0.5631746031746032,0.3004742547425474,0.05341699169069018,5.625068826085085,0.8994088817848169,0.7562232105454126
component_transition_score,precipitation,0.05,26,12091,644,619,250,0.38819875776397517,0.40387722132471726,0.05326275742287652,7.582732116517324,0.918096958080117,0.45639002223253766
component_transition_score,precipitation,0.1,26,12091,644,1221,352,0.546583850931677,0.2882882882882883,0.05326275742287652,5.412567847350456,0.9534474277127334,0.6084019447362635
component_weather_transition_score,all matched,0.05,25,127426,6876,6380,2453,0.3567481093659104,0.38448275862068965,0.0539607301492631,7.125232693426411,0.7791041305545312,0.40545017134701766
component_weather_transition_score,all matched,0.1,25,127426,6876,12752,3617,0.5260325770796975,0.2836417816813049,0.0539607301492631,5.256448178086381,0.9023749030855005,0.5838903384114598
weather_severity_only,all matched,0.05,26,128780,7064,6448,435,0.06157984144960362,0.06746277915632755,0.05485323808044727,1.229877788753095,0.14791931282422627,0.0877833025266452
weather_severity_only,all matched,0.1,26,128780,7064,12888,764,0.10815402038505097,0.059279950341402855,0.05485323808044727,1.0807010199555294,0.19801068737789998,0.11971681383064947
