test_year,matched_component_records,matched_damage_records,airports
2000,3234,408,117
2001,3066,343,118
2002,3361,375,120
2003,3560,321,118
2004,3959,309,118
2005,4046,319,119
2006,4279,341,119
2007,4538,317,119
2008,4261,324,119
2009,5689,345,119
2010,5415,337,120
2011,5462,305,119
2012,5657,337,119
2013,5478,304,120
2014,6865,331,120
2015,6496,279,120
2016,6227,305,120
2017,6376,346,120
2018,7321,359,120
2019,7552,333,119
2020,4291,214,120
2021,6426,303,120
2022,7445,337,120
2023,8811,355,120
2024,9594,344,120
2025,10493,390,120
