score,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift,event_deduplicated_cost_capture,event_deduplicated_aos_capture
hierarchical_review_rule,0.01,31,273838,22992,2752,1955,0.08502957550452331,0.7103924418604651,0.08396205055543789,8.46087532594755,0.2187628436303239,0.22737736908030562
hierarchical_review_rule,0.025,31,273838,22992,6860,4265,0.18549930410577592,0.6217201166180758,0.08396205055543789,7.404775282466103,0.44522162109563695,0.454944794820625
hierarchical_review_rule,0.05,31,273838,22992,13706,7423,0.32285142658315935,0.5415876258572888,0.08396205055543789,6.450385885938946,0.6034526672527404,0.626537978730442
hierarchical_review_rule,0.1,31,273838,22992,27395,11585,0.5038709116214335,0.42288738820952726,0.08396205055543789,5.036649121978102,0.7670197881664257,0.7663818424198301
hierarchical_review_rule,0.2,31,273838,22992,54779,15889,0.6910664578983995,0.2900564084777013,0.08396205055543789,3.4546132039281825,0.9153145380294386,0.8929047093069089
historical_frequency,0.01,31,273838,22992,2752,104,0.004523312456506611,0.0377906976744186,0.08396205055543789,0.45009260045961386,0.0012498102101496777,0.0010231354655524942
historical_frequency,0.025,31,273838,22992,6860,202,0.008785664578983995,0.02944606413994169,0.08396205055543789,0.3507068246326267,0.007027653312608444,0.0035191667333900668
historical_frequency,0.05,31,273838,22992,13706,522,0.022703549060542796,0.03808550999562235,0.08396205055543789,0.45360385726257973,0.01828190838712419,0.006040536001708049
historical_frequency,0.1,31,273838,22992,27395,887,0.038578636047320806,0.03237817119912393,0.08396205055543789,0.38562863799694236,0.02807221624803383,0.008145582431363317
historical_frequency,0.2,31,273838,22992,54779,1473,0.06406576200417537,0.02688986655470162,0.08396205055543789,0.3202621467295747,0.04287424926977519,0.012760537556811585
