score,budget_share,test_years,test_component_records,selected_component_records,target_records,captured_target_records,damage_capture_rate,selected_damage_rate,damage_lift,hard_records,captured_hard_records,hard_capture_rate,selected_hard_rate,hard_lift,selected_event_cost,total_event_cost,event_cost_capture_rate,selected_event_aos,total_event_aos,event_aos_capture_rate,mean_annual_damage_lift,mean_annual_hard_lift
posterior_damage_gated_burden,0.05,2,37927,1897,1843,787,0.4270211611502984,0.41486557722720085,8.537496878728186,6478,1229,0.18971904908922507,0.6478650500790722,3.793080851242509,42322924.0,59853222.0,0.7071118744451218,44347.09,65523.01000000004,0.6768170448824004,8.540173157767777,3.7936889902773423
hierarchical_component_transition,0.05,2,37927,1897,1843,785,0.4259359739555073,0.41381128096995257,8.51580057153955,6478,1224,0.1889472059277555,0.6452293094359515,3.777649277396933,43147019.0,59853222.0,0.7208804732350081,44758.630000000005,65523.010000000046,0.6830978918703517,8.517679727798416,3.7781377515183365
posterior_tail_burden,0.05,2,37927,1897,1843,778,0.42213781877373846,0.41012124406958356,8.439863496379326,6478,1222,0.18863846866316764,0.6441750131787032,3.7714766478587025,41464369.0,59853222.0,0.692767533884809,44585.24,65523.01000000004,0.6804516459179756,8.439722503933318,3.771137620064535
risk_guarded_tail_burden,0.05,2,37927,1897,1843,778,0.42213781877373846,0.41012124406958356,8.439863496379326,6478,1222,0.18863846866316764,0.6441750131787032,3.7714766478587025,41464369.0,59853222.0,0.692767533884809,44585.24,65523.01000000004,0.6804516459179756,8.439722503933318,3.771137620064535
posterior_expected_burden,0.05,2,37927,1897,1843,770,0.41779706999457406,0.4059040590405904,8.353078267624783,6478,1283,0.19805495523309663,0.6763310490247759,3.9597418487747262,42322459.0,59853222.0,0.7071041054398041,44698.240000000005,65523.010000000046,0.6821762309149103,8.354367470221849,3.9578672895367983
component_phase_size_mass_rate,0.05,2,37927,1897,1843,763,0.4139989148128052,0.4022140221402214,8.277141192464557,6478,1178,0.18184624884223527,0.620980495519241,3.635678798017637,43074819.0,59853222.0,0.7196741889684736,44253.57000000001,65523.010000000046,0.6753897600247604,8.27718002738441,3.6341636185720927
posterior_event_tail_burden,0.05,2,37927,1897,1843,715,0.3879544221378188,0.37691091196626253,7.756429819937298,6478,1341,0.20700833590614387,0.7069056404849763,4.138748105383405,42993738.0,59853222.0,0.71831952505414,46173.39,65523.010000000046,0.7046896960319736,7.770438292309244,4.135840684348542
component_phase_size_mass_frequency,0.05,2,37927,1897,1843,19,0.010309278350515464,0.010015814443858724,0.20611491829204007,6478,158,0.024390243902439025,0.08328940432261465,0.48763773352019235,9106.0,59853222.0,0.0001521388439205495,990.05,65523.01,0.015109959081550129,0.206759555459964,0.4871516637940221
hierarchical_component_transition,0.1,2,37927,3793,1843,1089,0.5908844275637547,0.2871078302135513,5.90837692702624,6478,1922,0.29669651126891017,0.5067229106248352,2.966730446321106,47874748.0,59853222.0,0.7998691866579881,49183.43000000001,65523.010000000046,0.7506283670423561,5.907472991554712,2.966284159211032
posterior_tail_burden,0.1,2,37927,3793,1843,1085,0.5887140531741726,0.28605325599789083,5.88667489974607,6478,1963,0.3030256251929608,0.5175322963353546,3.030016579671348,49591644.0,59853222.0,0.8285542923654136,50852.43,65523.01000000004,0.7761003348289398,5.885361828930941,3.0281623585229402
risk_guarded_tail_burden,0.1,2,37927,3793,1843,1085,0.5887140531741726,0.28605325599789083,5.88667489974607,6478,1963,0.3030256251929608,0.5175322963353546,3.030016579671348,49591644.0,59853222.0,0.8285542923654136,50852.43,65523.01000000004,0.7761003348289398,5.885361828930941,3.0281623585229402
posterior_damage_gated_burden,0.1,2,37927,3793,1843,1085,0.5887140531741726,0.28605325599789083,5.88667489974607,6478,1946,0.3004013584439642,0.5130503559187978,3.003775987794419,47895117.0,59853222.0,0.8002095025059803,49233.43000000001,65523.01000000004,0.7513914577489645,5.886126363622121,3.0026570559279193
component_phase_size_mass_rate,0.1,2,37927,3793,1843,1074,0.5827455236028215,0.28315317690482467,5.826994324725603,6478,1903,0.29376350725532574,0.5017136831004482,2.937402725988067,47592563.0,59853222.0,0.7951545699578212,49052.28,65523.010000000046,0.7486267801189226,5.8284743720078644,2.9375865419220837
posterior_expected_burden,0.1,2,37927,3793,1843,1017,0.5518176885512751,0.2681254943316636,5.517740435983183,6478,2232,0.3445507872800247,0.5884524123385183,3.4452353570180585,47535853.0,59853222.0,0.794207085459827,51281.810000000005,65523.010000000046,0.7826534525810088,5.520175550003344,3.445104721043047
posterior_event_tail_burden,0.1,2,37927,3793,1843,968,0.5252306022788931,0.25520696018982336,5.251890601801102,6478,2281,0.35211485026242667,0.6013709464803586,3.5208700041927385,44731942.0,59853222.0,0.747360634988038,52797.82000000001,65523.010000000046,0.8057905154235125,5.250747310408109,3.521381551434027
component_phase_size_mass_frequency,0.1,2,37927,3793,1843,31,0.016820401519262073,0.00817295017136831,0.16819071142131628,6478,206,0.03179993825254708,0.054310572106511995,0.3179742309792653,11279.0,59853222.0,0.0001884443246848098,1049.6999999999998,65523.01,0.01602032629453378,0.16744327004193182,0.3180138219647538
