component,nwsd_component_damage_score,sdr_records,wildlife_sdr_records,wildlife_share_within_component
engine,0.11503201576022498,22421,470,0.02096249052227822
fuselage,0.03192229201752097,36254,90,0.0024824846913444032
wing_rotor,0.10737626475803973,43391,82,0.0018897928141780554
other,0.02650075955597218,231714,82,0.00035388453006723804
windshield,0.029430509367033248,2761,56,0.02028250633828323
radome,0.04988013597842532,292,55,0.18835616438356165
nose,0.038029453959404484,3187,27,0.008471917163476624
landing_gear,0.04837728538169434,7144,14,0.001959686450167973
lights,0.5297971986974116,38709,3,7.750135627373479e-05
tail,0.22121314913083245,9216,2,0.00021701388888888888
propeller,0.07124558446215074,123,1,0.008130081300813009
