alpha,budget_share,test_years,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,hit_rate,lift
1.0,0.05,31,273838,22992,13706,7367,0.32041579679888654,0.537501824018678,6.401723403167481
5.0,0.05,31,273838,22992,13706,7428,0.32306889352818374,0.541952429592879,6.4547307504721125
10.0,0.05,31,273838,22992,13706,7423,0.32285142658315935,0.5415876258572888,6.450385885938946
25.0,0.05,31,273838,22992,13706,7342,0.3193284620737648,0.5356778053407267,6.3799990805016495
50.0,0.05,31,273838,22992,13706,7247,0.31519659011830203,0.5287465343645119,6.297446654371487
1.0,0.1,31,273838,22992,27395,11492,0.4998260264439805,0.4194926081401716,4.9962168070584685
5.0,0.1,31,273838,22992,27395,11580,0.5036534446764092,0.42270487315203503,5.034475341606079
10.0,0.1,31,273838,22992,27395,11585,0.5038709116214335,0.42288738820952726,5.036649121978102
25.0,0.1,31,273838,22992,27395,11537,0.5017832289491997,0.42113524365760174,5.015780830406678
50.0,0.1,31,273838,22992,27395,11426,0.496955462769659,0.417083409381274,4.96752290614776
