rule,budget_share,training_cell_count,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,hit_rate,lift
direct smoothed,0.05,1--10,13426,3079,676,409,0.13283533614810003,0.6050295857988166,2.638235537166259
hierarchical,0.05,1--10,13426,3079,2390,1345,0.43683013965573236,0.5627615062761506,2.4539252949865533
direct smoothed,0.05,11--50,31199,7022,5614,3057,0.43534605525491316,0.544531528322052,2.4193732771460694
hierarchical,0.05,11--50,31199,7022,5905,3278,0.46681857020791795,0.5551227773073666,2.4664305794948063
direct smoothed,0.05,51--200,52787,7072,6088,2946,0.41657239819004527,0.48390275952693823,3.6119591299700913
hierarchical,0.05,51--200,52787,7072,5079,2624,0.37104072398190047,0.5166371332939556,3.85629586470419
direct smoothed,0.05,>200,176426,5819,1328,681,0.11703041759752535,0.5128012048192772,15.54759672820859
hierarchical,0.05,>200,176426,5819,332,176,0.030245746691871456,0.5301204819277109,16.07269911403649
direct smoothed,0.1,1--10,13426,3079,2404,1134,0.3683013965573238,0.4717138103161398,2.056911210556834
hierarchical,0.1,1--10,13426,3079,4257,1963,0.6375446573562845,0.46112285647169365,2.010729285803494
direct smoothed,0.1,11--50,31199,7022,10533,4786,0.681572201651951,0.45438146776796734,2.018833297193508
hierarchical,0.1,11--50,31199,7022,10270,4733,0.6740244944460267,0.460856864654333,2.047603719787886
direct smoothed,0.1,51--200,52787,7072,10763,4185,0.5917703619909502,0.38883211000650375,2.902330400298828
hierarchical,0.1,51--200,52787,7072,9931,3944,0.5576923076923077,0.39714026784815226,2.964344360704244
direct smoothed,0.1,>200,176426,5819,3695,1146,0.19694105516411756,0.310148849797023,9.403389065868634
hierarchical,0.1,>200,176426,5819,2937,945,0.16239903763533253,0.32175689479060265,9.75533286137255
