test_year,train_start,train_end,train_window,target,score,budget_share,test_component_records,target_records,selected_component_records,captured_target_records,capture_rate,selected_target_rate,overall_target_rate,lift
2026,2021,2025,5,part_damage,phase_size_rate,0.05,241,28,13,6,0.21428571428571427,0.46153846153846156,0.11618257261410789,3.9725274725274726
2026,2021,2025,5,part_damage,phase_size_rate,0.1,241,28,25,11,0.39285714285714285,0.44,0.11618257261410789,3.787142857142857
2026,2021,2025,5,part_damage,species_phase_size_rate,0.05,241,28,13,6,0.21428571428571427,0.46153846153846156,0.11618257261410789,3.9725274725274726
2026,2021,2025,5,part_damage,species_phase_size_rate,0.1,241,28,25,12,0.42857142857142855,0.48,0.11618257261410789,4.131428571428571
2026,2021,2025,5,part_damage,component_only_rate,0.05,241,28,13,5,0.17857142857142858,0.38461538461538464,0.11618257261410789,3.3104395604395607
2026,2021,2025,5,part_damage,component_only_rate,0.1,241,28,25,8,0.2857142857142857,0.32,0.11618257261410789,2.7542857142857144
2026,2021,2025,5,part_damage,component_phase_size_rate,0.05,241,28,13,9,0.32142857142857145,0.6923076923076923,0.11618257261410789,5.958791208791208
2026,2021,2025,5,part_damage,component_phase_size_rate,0.1,241,28,25,12,0.42857142857142855,0.48,0.11618257261410789,4.131428571428571
2026,2021,2025,5,part_damage,component_phase_size_mass_rate,0.05,241,28,13,9,0.32142857142857145,0.6923076923076923,0.11618257261410789,5.958791208791208
2026,2021,2025,5,part_damage,component_phase_size_mass_rate,0.1,241,28,25,12,0.42857142857142855,0.48,0.11618257261410789,4.131428571428571
2026,2021,2025,5,part_damage,component_phase_size_mass_frequency,0.05,241,28,13,0,0.0,0.0,0.11618257261410789,0.0
2026,2021,2025,5,part_damage,component_phase_size_mass_frequency,0.1,241,28,25,0,0.0,0.0,0.11618257261410789,0.0
2026,2021,2025,5,event_hard,phase_size_rate,0.05,241,61,13,12,0.19672131147540983,0.9230769230769231,0.25311203319502074,3.646910466582598
2026,2021,2025,5,event_hard,phase_size_rate,0.1,241,61,25,21,0.3442622950819672,0.84,0.25311203319502074,3.318688524590164
2026,2021,2025,5,event_hard,species_phase_size_rate,0.05,241,61,13,12,0.19672131147540983,0.9230769230769231,0.25311203319502074,3.646910466582598
2026,2021,2025,5,event_hard,species_phase_size_rate,0.1,241,61,25,22,0.36065573770491804,0.88,0.25311203319502074,3.47672131147541
2026,2021,2025,5,event_hard,component_only_rate,0.05,241,61,13,9,0.14754098360655737,0.6923076923076923,0.25311203319502074,2.7351828499369484
2026,2021,2025,5,event_hard,component_only_rate,0.1,241,61,25,14,0.22950819672131148,0.56,0.25311203319502074,2.212459016393443
2026,2021,2025,5,event_hard,component_phase_size_rate,0.05,241,61,13,12,0.19672131147540983,0.9230769230769231,0.25311203319502074,3.646910466582598
2026,2021,2025,5,event_hard,component_phase_size_rate,0.1,241,61,25,22,0.36065573770491804,0.88,0.25311203319502074,3.47672131147541
2026,2021,2025,5,event_hard,component_phase_size_mass_rate,0.05,241,61,13,13,0.21311475409836064,1.0,0.25311203319502074,3.9508196721311477
2026,2021,2025,5,event_hard,component_phase_size_mass_rate,0.1,241,61,25,22,0.36065573770491804,0.88,0.25311203319502074,3.47672131147541
2026,2021,2025,5,event_hard,component_phase_size_mass_frequency,0.05,241,61,13,0,0.0,0.0,0.25311203319502074,0.0
2026,2021,2025,5,event_hard,component_phase_size_mass_frequency,0.1,241,61,25,0,0.0,0.0,0.25311203319502074,0.0
