target,budget_share,challenger,baseline,test_years,years_challenger_ge_baseline,win_rate,challenger_mean_lift,baseline_mean_lift,challenger_min_lift,challenger_max_lift
part_damage,0.05,component_phase_size_mass_rate,component_phase_size_mass_frequency,31,31,1.0,6.113765331517278,0.4569069236398603,2.713705637293677,8.27758222872475
part_damage,0.05,component_phase_size_mass_rate,phase_size_rate,31,30,0.967741935483871,6.113765331517278,4.868159597340086,2.713705637293677,8.27758222872475
part_damage,0.05,component_phase_size_mass_rate,species_phase_size_rate,31,23,0.7419354838709677,6.113765331517278,5.51447750472308,2.713705637293677,8.27758222872475
part_damage,0.05,component_phase_size_mass_rate,component_only_rate,31,31,1.0,6.113765331517278,3.1083097822366,2.713705637293677,8.27758222872475
part_damage,0.1,component_phase_size_mass_rate,component_phase_size_mass_frequency,31,31,1.0,4.862323964985221,0.3897955390564137,2.7306662975267626,5.908320696164602
part_damage,0.1,component_phase_size_mass_rate,phase_size_rate,31,31,1.0,4.862323964985221,4.139644575373872,2.7306662975267626,5.908320696164602
part_damage,0.1,component_phase_size_mass_rate,species_phase_size_rate,31,29,0.9354838709677419,4.862323964985221,4.257579936989199,2.7306662975267626,5.908320696164602
part_damage,0.1,component_phase_size_mass_rate,component_only_rate,31,31,1.0,4.862323964985221,2.4979042369591684,2.7306662975267626,5.908320696164602
event_hard,0.05,component_phase_size_mass_rate,component_phase_size_mass_frequency,31,31,1.0,3.5020224458638523,0.48677267222342746,2.0799615381342593,4.182006274056484
event_hard,0.05,component_phase_size_mass_rate,phase_size_rate,31,26,0.8387096774193549,3.5020224458638523,3.1912100954944824,2.0799615381342593,4.182006274056484
event_hard,0.05,component_phase_size_mass_rate,species_phase_size_rate,31,16,0.5161290322580645,3.5020224458638523,3.437411756206127,2.0799615381342593,4.182006274056484
event_hard,0.05,component_phase_size_mass_rate,component_only_rate,31,31,1.0,3.5020224458638523,2.3673465990419036,2.0799615381342593,4.182006274056484
event_hard,0.1,component_phase_size_mass_rate,component_phase_size_mass_frequency,31,31,1.0,3.2063222589701814,0.4421038676365002,2.0580672061538987,3.765034735068031
event_hard,0.1,component_phase_size_mass_rate,phase_size_rate,31,30,0.967741935483871,3.2063222589701814,2.855791975306599,2.0580672061538987,3.765034735068031
event_hard,0.1,component_phase_size_mass_rate,species_phase_size_rate,31,29,0.9354838709677419,3.2063222589701814,2.912421092310795,2.0580672061538987,3.765034735068031
event_hard,0.1,component_phase_size_mass_rate,component_only_rate,31,31,1.0,3.2063222589701814,2.032001753218919,2.0580672061538987,3.765034735068031
